RegionID|RegionName|Coordinates
695|Baoshan, Shanghai, China|31.49416;121.30734:31.48359;121.31451:31.45374;121.32059:31.43966;121.33448:31.43442;121.33717:31.41409;121.33646:31.40694;121.31523:31.35887;121.33637:31.34720;121.33413:31.33646;121.34512:31.32121;121.34939:31.30452;121.33784:31.30085;121.33092:31.29344;121.33799:31.30030;121.35484:31.30357;121.36246:31.28985;121.38177:31.28246;121.40170:31.28734;121.40453:31.27998;121.42301:31.29371;121.41971:31.31865;121.43271:31.31540;121.46803:31.31801;121.49652:31.33505;121.49544:31.34695;121.51186:31.36125;121.50362:31.38030;121.50437:31.38963;121.51723:31.40584;121.54524:31.55613;121.35641:31.50286;121.33241
1479|Hailar, Hulunbuir, China|49.17200;119.68900:49.17200;119.90200:49.27400;119.90200:49.27400;119.68900
3588|Tunxi, Huangshan, China|29.67597;118.27280:29.67597;118.38421:29.73561;118.38421:29.73561;118.27280
4249|Hillingdon, England, United Kingdom|51.46972;-0.50757:51.46208;-0.47776:51.45976;-0.47522:51.45764;-0.46828:51.45872;-0.45966:51.45369;-0.45380:51.45209;-0.44555:51.45929;-0.43747:51.46980;-0.41273:51.47664;-0.41913:51.48677;-0.41434:51.49369;-0.40782:51.50134;-0.41162:51.50613;-0.39538:51.51232;-0.39422:51.51691;-0.38522:51.52214;-0.38000:51.52646;-0.37900:51.53398;-0.41455:51.54245;-0.40736:51.54444;-0.40977:51.55002;-0.39810:51.55529;-0.37837:51.56669;-0.38241:51.56812;-0.38752:51.57596;-0.38817:51.58960;-0.39599:51.61453;-0.40313:51.62100;-0.40741:51.61774;-0.43136:51.62257;-0.44603:51.61500;-0.44722:51.61063;-0.45528:51.61510;-0.47260:51.62214;-0.47963:51.62722;-0.48434:51.62869;-0.49695:51.61733;-0.50499:51.61067;-0.50577:51.58555;-0.49162:51.57593;-0.48847:51.57058;-0.48389:51.55371;-0.48274:51.53974;-0.49648:51.49888;-0.49174
4252|Richmond-upon-Thames, London, England, United Kingdom|51.40973;-0.39065:51.41196;-0.36139:51.39136;-0.32695:51.39362;-0.31687:51.40022;-0.30960:51.43014;-0.30666:51.42006;-0.28642:51.43211;-0.25518:51.44224;-0.24106:51.46364;-0.23304:51.47092;-0.22217:51.48351;-0.22671:51.48695;-0.22860:51.48944;-0.23551:51.48880;-0.24186:51.48476;-0.24960:51.47529;-0.25130:51.47094;-0.25785:51.47115;-0.26579:51.47499;-0.27270:51.48348;-0.27777:51.48720;-0.28684:51.48619;-0.29260:51.48451;-0.29734:51.47540;-0.30778:51.47062;-0.32007:51.46034;-0.32810:51.45777;-0.37360:51.44835;-0.39036:51.43996;-0.37333:51.42885;-0.38898
4688|Dommeldange, Luxembourg City, Luxembourg|49.63780;6.12882:49.64841;6.15079:49.65009;6.15881:49.64711;6.15815:49.64178;6.14894:49.64115;6.15371:49.64180;6.16082:49.63627;6.14558:49.63506;6.14212:49.63367;6.14368:49.63301;6.14284:49.63009;6.13344
5827|Greenwich, London, England, United Kingdom|51.47970;-0.02810:51.47243;-0.02435:51.47057;-0.00446:51.47215;0.01269:51.46603;0.00618:51.45714;0.00756:51.45156;0.01727:51.44768;0.02046:51.44421;0.02821:51.43492;0.04234:51.42556;0.05286:51.42474;0.05932:51.42733;0.06907:51.43098;0.07264:51.43049;0.07834:51.43621;0.08404:51.43866;0.07999:51.44741;0.08803:51.45515;0.08630:51.45989;0.08113:51.46339;0.07423:51.46992;0.07479:51.46981;0.08592:51.47356;0.09362:51.47486;0.11108:51.47894;0.11921:51.47898;0.12998:51.48013;0.13640:51.48150;0.13803:51.48531;0.13715:51.48565;0.12887:51.49381;0.12673:51.49503;0.12828:51.49923;0.12778:51.50060;0.13655:51.50940;0.14677:51.51404;0.13159:51.51114;0.08688:51.49923;0.07729:51.49540;0.06252:51.49753;0.02194:51.50082;0.01337:51.50411;0.00823:51.50583;0.00074:51.50207;-0.00377:51.49096;0.00141:51.48658;-0.00200:51.48397;-0.01268:51.48642;-0.02403
6511|Capistrano Beach, California, United States of America|33.45791;-117.68301:33.43624;-117.65359:33.44173;-117.64499:33.44550;-117.65008:33.44632;-117.64899:33.44929;-117.64763:33.45133;-117.64906:33.44894;-117.65141:33.45272;-117.65725:33.45378;-117.65662:33.45442;-117.65791:33.45405;-117.65834:33.45480;-117.65936:33.45965;-117.65533:33.46033;-117.65385:33.46340;-117.65486:33.46717;-117.66624:33.46651;-117.67364:33.47028;-117.68118
6935|Castleton, Indianapolis, Indiana, United States of America|39.91394;-86.06004:39.91394;-86.03564:39.89650;-86.03536:39.89640;-86.06018
7259|Temple Terrace, Tampa, Florida, United States of America|28.06918;-82.40157:28.05450;-82.40140:28.05450;-82.39754:28.02463;-82.39754:28.02345;-82.39234:28.01904;-82.38743:28.01395;-82.38901:28.01220;-82.38724:28.01409;-82.38308:28.01355;-82.37755:28.01522;-82.37538:28.01814;-82.37527:28.02262;-82.37048:28.02597;-82.36355:28.03259;-82.36395:28.03166;-82.35281:28.07077;-82.35262:28.06922;-82.35732
7633|Potts Point - Kings Cross, Sydney, New South Wales, Australia|-33.86812;151.22179:-33.86912;151.22266:-33.87529;151.22133:-33.87598;151.22290:-33.87657;151.22954:-33.87167;151.23283:-33.85725;151.23335:-33.85681;151.22670
